round,team_name,group_name,group_type,group_code,village,union,union_code,upazila,upazila_code,district,district_code,ward,female_producers_involved,male_producers_involved,female_producers_present,male_producers_present,female_producers_dropout,male_producers_dropout,evaluation_date,facilitator,development_plan,rules_regulation,leadership_process,learning_sharing_space,services,cow_shed_mgmt,feed_mgmt,health_mgmt,breed_dvmt,milk_mgmt,milk_marketing,info_mgmt,gender_equity,total
1.0,Bhangura,Kashipur Poschimpara,2.0,76193102011.0,Kashipur,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,30.0,4.0,23.0,4.0,0.0,0.0,12.05.14,Shahanara,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,21.0
1.0,Bhangura,Rangalia Madhapara,2.0,76197903011.0,Rangalia,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,27.0,5.0,21.0,3.0,0.0,0.0,20.05.14,Shahanara,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,22.0
1.0,Bhangura,Kashipur madhapara,2.0,76197902011.0,Kashipur,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,31.0,3.0,27.0,0.0,0.0,0.0,21.05.14,Shahanara,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,24.0
1.0,Bhangura,Aringail Sarderpara,2.0,76229405012.0,Aringail,Parshadanga,NA,Chatmohor,NA,Pabna,NA,NA,23.0,6.0,21.0,4.0,0.0,0.0,22.05.14,mahmud,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,18.0
1.0,Bhangura,Bothor Hindupara,2.0,76221305011.0,Bothor,Bilchalan,NA,Chatmohor,NA,Pabna,NA,NA,28.0,2.0,22.0,2.0,0.0,0.0,21.05.14,Shamim,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,21.0
1.0,Bhangura,Bothor Fakirpara,2.0,76221307011.0,Bothor,Bilchalan,NA,Chatmohor,NA,Pabna,NA,NA,30.0,0.0,25.0,0.0,0.0,0.0,22.05.14,Shamim,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,20.0
1.0,Bhangura,Bothor Madhapara,2.0,76221306012.0,Bothor,Bilchalan,NA,Chatmohor,NA,Pabna,NA,NA,38.0,2.0,31.0,2.0,0.0,0.0,22.05.14,Shamim,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,17.0
1.0,Bhangura,Briguakhara Poschimpara,2.0,76227008011.0,Briguakhara,Mothurapur,NA,Chatmohor,NA,Pabna,NA,NA,12.0,23.0,10.0,18.0,0.0,0.0,26.05.14,Shamim,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0
1.0,Bhangura,Bhabanipur Alok Diarpara,2.0,76193106015.0,Bhabanipur,Bhangura,NA,Bhangura,NA,Pabna,NA,NA,9.0,21.0,8.0,13.0,0.0,0.0,19.05.14,Mamun R,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,17.0
1.0,Bhangura,Bhabanipur Diarpara,2.0,76193106016.0,Bhabanipur,Bhangura,NA,Bhangura,NA,Pabna,NA,NA,18.0,12.0,18.0,4.0,0.0,0.0,19.05.14,Mamun R,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,16.0
